"STATDISPID","TITLE","CYCLE","SURVEY_DATE"
"0000030118","住宅の所有の関係（８），世帯人員（８），畳数（１６），住宅に住む普通世帯数 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030119","住宅の所有の関係（８），畳数（１６），住宅に住む普通世帯の１世帯当たり人員 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030120","畳数（１６），間借りの１人世帯の数 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030121","住宅に住む普通世帯の間借りの１人世帯の１人当たり畳数 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030122","住宅の所有の関係（８），世帯人員（８），１人当たり畳数 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030123","住宅の所有の関係（８），１人当たり畳数（１５），居住室数（１１），住宅に住む普通世帯数 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030124","住宅の所有の関係（８），１人当たり畳数（１５），居住室数（１１），住宅に住む普通世帯の人員 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030125","１人当たり畳数（１５），居住室数（１１），間借りの１人世帯の数 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030126","１人当たり畳数（１５），居住室数（１１），間借りの１人世帯の人員 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","-",
"0000030127","男女の別（性別）（３），年齢５歳階級（２３），人口 都道府県・市部・郡部・ＤＩＤ（都道府県・市部・郡部）・支庁・市区町村・ＤＩＤ（市区町村） 全域・人口集中地区の別","-",
"0000030128","男女の別（性別）（３），年齢各歳階級（１０３），人口 都道府県・市部・郡部・ＤＩＤ（都道府県・市部・郡部）・支庁・市区町村・ＤＩＤ（市区町村） 全域・人口集中地区の別","-",
"0000030129","総人口・日本人（２），男女の別（性別）（２），年齢各歳階級（１２２），出生の月（５），人口 都道府県（４７）・市部・郡部・ＤＩＤ（都道府県）・人口５０万以上の市，全域・人口集中地区の別","-",
"0000030130","男女の別（性別）（２），年齢５歳階級（１６），配偶関係（５），１５歳以上人口 都道府県・市部・郡部・ＤＩＤ（都道府県・市部・郡部）・支庁・市区町村・ＤＩＤ（市区町村） 全域・人口集中地区の別","-",
"0000030131","総人口・日本人（２），男女の別（性別）（２），年齢各歳階級（８６），配偶関係（５），１５歳以上人口 都道府県（４７）・市部・郡部・ＤＩＤ（都道府県）・人口５０万以上の市，全域・人口集中地区の別","-",
"0000030132","男女の別（性別）（３），年齢５歳階級（１９），国籍（５），外国人数 都道府県・市部・郡部・ＤＩＤ（都道府県）・人口５０万以上の市，全域・人口集中地区の別","-",
"0000030133","男女の別（性別）（３），国籍（５），外国人数 都道府県・市部・郡部・ＤＩＤ（都道府県・市部・郡部）・支庁・市区町村・ＤＩＤ（市区町村） 全域・人口集中地区の別","-",
"0000030134","男女の別（性別）（３），入居時期・前住地（２１），年齢５歳階級（２０），人口 都道府県・市部・郡部・ＤＩＤ（都道府県）・県庁所在都市・人口３０万以上の市，全域・人口集中地区の別","-",
"0000030135","男女の別（性別）（３），入居時期・前住地（２１），人口 都道府県・市部・郡部・ＤＩＤ（都道府県・市部・郡部）・支庁・市区町村・ＤＩＤ（市区町村） 全域・人口集中地区の別","-",
"0000030136","男女の別（性別）（３），年齢５歳階級（１２），最終卒業学校の種類・在学か否か（９），１５歳以上人口 都道府県・市部・郡部・ＤＩＤ（都道府県・市部・郡部）・支庁・市区町村・ＤＩＤ（市区町村） 全域・人口集中地区の別","-",
"0000030137","男女の別（性別）（３），年齢各歳階級（３２），在学学校の種類（５），在学者数 都道府県（４７）・市部・郡部・ＤＩＤ（都道府県）・人口５０万以上の市，全域・人口集中地区の別","-",
"0000030138","男女の別（性別）（３），年齢各歳階級（３２），未就学の種類（４），未就学者数 都道府県（４７）・市部・郡部・ＤＩＤ（都道府県）・人口５０万以上の市，全域・人口集中地区の別","-",
"0000030139","男女の別（性別）（３），在学学校の種類（５），在学者数 都道府県・市部・郡部・ＤＩＤ（都道府県・市部・郡部）・支庁・市区町村・ＤＩＤ（市区町村） 全域・人口集中地区の別","-",
"0000030140","男女の別（性別）（３），未就学の種類（４），未就学者数 都道府県・市部・郡部・ＤＩＤ（都道府県・市部・郡部）・支庁・市区町村・ＤＩＤ（市区町村） 全域・人口集中地区の別","-",
"0000030141","男女の別（性別）（３），年齢５歳階級（１６），労働力状態（１２），１５歳以上人口 都道府県・市部・郡部・ＤＩＤ（都道府県）・人口５０万以上の市，全域・人口集中地区の別","-",
"0000030142","男女の別（性別）（３），年齢（２），労働力状態（１２），１５歳以上人口 都道府県・市部・郡部・ＤＩＤ（都道府県・市部・郡部）・支庁・市区町村・ＤＩＤ（市区町村） 全域・人口集中地区の別","-",
"0000030143","男女の別（性別）（３），年齢５歳階級（１６），労働力状態（４），１５歳以上人口 都道府県・市部・郡部・ＤＩＤ（都道府県・市部・郡部）・支庁・市区町村・ＤＩＤ（市区町村） 全域・人口集中地区の別","-",
"0000030144","男女の別（性別）（３），産業大分類（１５），従業上の地位（６），１５歳以上就業者数 都道府県・市部・郡部・ＤＩＤ（都道府県・市部・郡部）・支庁・市区町村・ＤＩＤ（市区町村） 全域・人口集中地区の別","-",
"0000030145","総数・雇用者（２），男女の別（性別）（３），年齢５歳階級（１６），産業大分類（１４），１５歳以上就業者数 都道府県・市部・郡部・ＤＩＤ（都道府県・市部・郡部）・支庁・市区町村・ＤＩＤ（市区町村） 全域・人口集中地区の別","-",
"0000030146","世帯人員（１１），普通世帯数 都道府県・市部・郡部・ＤＩＤ（都道府県・市部・郡部）・支庁・市区町村・ＤＩＤ（市区町村） 全域・人口集中地区の別","-",
"0000030147","普通世帯の人員・普通世帯の１世帯当たり人員 都道府県・市部・郡部・ＤＩＤ（都道府県・市部・郡部）・支庁・市区町村・ＤＩＤ（市区町村） 全域・人口集中地区の別","-",
"0000030148","一般世帯数・１人の一般世帯数 都道府県・市部・郡部・ＤＩＤ（都道府県・市部・郡部）・支庁・市区町村・ＤＩＤ（市区町村） 全域・人口集中地区の別","-",
"0000030149","一般世帯の人員・一般世帯の１世帯当たり人員 都道府県・市部・郡部・ＤＩＤ（都道府県・市部・郡部）・支庁・市区町村・ＤＩＤ（市区町村） 全域・人口集中地区の別","-",
"0000030150","準世帯の種類（９），準世帯の人員 都道府県・市部・郡部・ＤＩＤ（都道府県・市部・郡部）・支庁・市区町村・ＤＩＤ（市区町村） 全域・人口集中地区の別","-",
"0000030151","施設等の世帯人員 都道府県・市部・郡部・ＤＩＤ（都道府県・市部・郡部）・支庁・市区町村・ＤＩＤ（市区町村） 全域・人口集中地区の別","-",
"0000030152","準世帯の種類（９），準世帯数 都道府県・市部・郡部・ＤＩＤ（都道府県・市部・郡部）・支庁・市区町村・ＤＩＤ（市区町村） 全域・人口集中地区の別","-",
"0000030153","準世帯人員（６），準世帯数 都道府県・市部・郡部・ＤＩＤ（都道府県・市部・郡部）・支庁・市区町村・ＤＩＤ（市区町村） 全域・人口集中地区の別","-",
"0000030154","準世帯人員（６），準世帯の人員 都道府県・市部・郡部・ＤＩＤ（都道府県・市部・郡部）・支庁・市区町村・ＤＩＤ（市区町村） 全域・人口集中地区の別","-",
"0000030155","世帯主との続き柄（３），男女の別（性別）（２），年齢５歳階級（１７Ａ），配偶関係（５），２人以上の普通世帯人員 都道府県（４７）・市部・郡部・ＤＩＤ（都道府県）・人口５０万以上の市，全域・人口集中地区の別","-",
"0000030156","男女の別（性別）（２），年齢５歳階級（１７Ａ），配偶関係（５），１人の普通世帯人員 都道府県（４７）・市部・郡部・ＤＩＤ（都道府県）・人口５０万以上の市，全域・人口集中地区の別","-",
"0000030157","男女の別（性別）（２），年齢５歳階級（１７Ａ），配偶関係（５），１人の一般世帯人員 都道府県（４７）・市部・郡部・ＤＩＤ（都道府県）・人口５０万以上の市，全域・人口集中地区の別","-",
"0000030158","男女の別（性別）（２），年齢５歳階級（１７Ａ），配偶関係（５），準世帯の人員 都道府県（４７）・市部・郡部・ＤＩＤ（都道府県）・人口５０万以上の市，全域・人口集中地区の別","-",
"0000030159","男女の別（性別）（２），年齢５歳階級（１７Ａ），配偶関係（５），施設等の世帯人員 都道府県（４７）・市部・郡部・ＤＩＤ（都道府県）・人口５０万以上の市，全域・人口集中地区の別","-",
"0000030160","家計の収入の種類（２３），普通世帯数 都道府県・市部・郡部・ＤＩＤ（都道府県・市部・郡部）・支庁・市区町村・ＤＩＤ（市区町村） 全域・人口集中地区の別","-",
"0000030161","家計の収入の種類（２３），普通世帯人員 都道府県・市部・郡部・ＤＩＤ（都道府県・市部・郡部）・支庁・市区町村・ＤＩＤ（市区町村） 全域・人口集中地区の別","-",
"0000030162","家計の収入の種類（２３），普通世帯の親族人員 都道府県・市部・郡部・ＤＩＤ（都道府県・市部・郡部）・支庁・市区町村・ＤＩＤ（市区町村） 全域・人口集中地区の別","-",
"0000030163","家計の収入の種類（２３），普通世帯の親族就業者数 都道府県・市部・郡部・ＤＩＤ（都道府県・市部・郡部）・支庁・市区町村・ＤＩＤ（市区町村） 全域・人口集中地区の別","-",
"0000030164","家計の収入の種類（２３），１世帯当たり親族人員 都道府県・市部・郡部・ＤＩＤ（都道府県・市部・郡部）・支庁・市区町村・ＤＩＤ（市区町村） 全域・人口集中地区の別","-",
"0000030165","家計の収入の種類（２３），６歳未満の親族のいる世帯の数 都道府県・市部・郡部・ＤＩＤ（都道府県・市部・郡部）・支庁・市区町村・ＤＩＤ（市区町村） 全域・人口集中地区の別","-",
"0000030166","家計の収入の種類（２３），６歳未満の親族のいる世帯の人員 都道府県・市部・郡部・ＤＩＤ（都道府県・市部・郡部）・支庁・市区町村・ＤＩＤ（市区町村） 全域・人口集中地区の別","-",
"0000030167","家計の収入の種類（２３），６歳未満の親族人員 都道府県・市部・郡部・ＤＩＤ（都道府県・市部・郡部）・支庁・市区町村・ＤＩＤ（市区町村） 全域・人口集中地区の別","-",
"0000030168","家計の収入の種類（２３），１８歳未満の親族のいる世帯の数 都道府県・市部・郡部・ＤＩＤ（都道府県・市部・郡部）・支庁・市区町村・ＤＩＤ（市区町村） 全域・人口集中地区の別","-",
"0000030169","家計の収入の種類（２３），１８歳未満の親族のいる世帯の人員 都道府県・市部・郡部・ＤＩＤ（都道府県・市部・郡部）・支庁・市区町村・ＤＩＤ（市区町村） 全域・人口集中地区の別","-",
"0000030170","家計の収入の種類（２３），１８歳未満の親族人員 都道府県・市部・郡部・ＤＩＤ（都道府県・市部・郡部）・支庁・市区町村・ＤＩＤ（市区町村） 全域・人口集中地区の別","-",
"0000030171","家計の収入の種類（２３），６５歳以上の親族のいる世帯の数 都道府県・市部・郡部・ＤＩＤ（都道府県・市部・郡部）・支庁・市区町村・ＤＩＤ（市区町村） 全域・人口集中地区の別","-",
