"STATDISPID","TAG_NAME"
"0000030056","全国編"
"0000030057","昭和55年国勢調査"
"0000030057","第1次基本集計"
"0000030057","全国編"
"0000030058","昭和55年国勢調査"
"0000030058","第1次基本集計"
"0000030058","全国編"
"0000030059","昭和55年国勢調査"
"0000030059","第1次基本集計"
"0000030059","全国編"
"0000030060","昭和55年国勢調査"
"0000030060","第1次基本集計"
"0000030060","全国編"
"0000030061","昭和55年国勢調査"
"0000030061","第1次基本集計"
"0000030061","全国編"
"0000030062","昭和55年国勢調査"
"0000030062","第1次基本集計"
"0000030062","全国編"
"0000030063","昭和55年国勢調査"
"0000030063","第1次基本集計"
"0000030063","全国編"
"0000030064","昭和55年国勢調査"
"0000030064","第1次基本集計"
"0000030064","全国編"
"0000030065","昭和55年国勢調査"
"0000030065","第1次基本集計"
"0000030065","全国編"
"0000030066","昭和55年国勢調査"
"0000030066","第1次基本集計"
"0000030066","全国編"
"0000030067","昭和55年国勢調査"
"0000030067","第1次基本集計"
"0000030067","全国編"
"0000030068","昭和55年国勢調査"
"0000030068","第1次基本集計"
"0000030068","全国編"
"0000030069","昭和55年国勢調査"
"0000030069","第1次基本集計"
"0000030069","全国編"
"0000030070","昭和55年国勢調査"
"0000030070","第1次基本集計"
"0000030070","全国編"
"0000030071","昭和55年国勢調査"
"0000030071","第1次基本集計"
"0000030071","全国編"
"0000030072","昭和55年国勢調査"
"0000030072","第1次基本集計"
"0000030072","全国編"
"0000030073","昭和55年国勢調査"
"0000030073","第1次基本集計"
"0000030073","全国編"
"0000030074","昭和55年国勢調査"
"0000030074","第1次基本集計"
"0000030074","全国編"
"0000030075","昭和55年国勢調査"
"0000030075","第1次基本集計"
"0000030075","全国編"
"0000030076","昭和55年国勢調査"
"0000030076","第1次基本集計"
"0000030076","全国編"
"0000030077","昭和55年国勢調査"
"0000030077","第1次基本集計"
"0000030077","全国編"
"0000030078","昭和55年国勢調査"
"0000030078","第1次基本集計"
"0000030078","全国編"
"0000030079","昭和55年国勢調査"
"0000030079","第1次基本集計"
"0000030079","全国編"
"0000030080","昭和55年国勢調査"
"0000030080","第1次基本集計"
"0000030080","全国編"
"0000030081","昭和55年国勢調査"
"0000030081","第1次基本集計"
"0000030081","全国編"
"0000030082","昭和55年国勢調査"
"0000030082","第1次基本集計"
"0000030082","全国編"
"0000030083","昭和55年国勢調査"
"0000030083","第1次基本集計"
"0000030083","全国編"
"0000030084","昭和55年国勢調査"
"0000030084","第1次基本集計"
"0000030084","全国編"
"0000030085","昭和55年国勢調査"
"0000030085","第1次基本集計"
"0000030085","全国編"
"0000030086","昭和55年国勢調査"
"0000030086","第1次基本集計"
"0000030086","全国編"
"0000030087","昭和55年国勢調査"
"0000030087","第1次基本集計"
"0000030087","全国編"
"0000030088","昭和55年国勢調査"
"0000030088","第1次基本集計"
"0000030088","全国編"
"0000030089","昭和55年国勢調査"
"0000030089","第1次基本集計"
"0000030089","全国編"
"0000030090","昭和55年国勢調査"
"0000030090","第1次基本集計"
"0000030090","全国編"
"0000030091","昭和55年国勢調査"
"0000030091","第1次基本集計"
"0000030091","全国編"
"0000030092","昭和55年国勢調査"
"0000030092","第1次基本集計"
"0000030092","全国編"
"0000030093","昭和55年国勢調査"
"0000030093","第1次基本集計"
"0000030093","全国編"
"0000030094","昭和55年国勢調査"
"0000030094","第1次基本集計"
"0000030094","全国編"
"0000030095","昭和55年国勢調査"
"0000030095","第1次基本集計"
"0000030095","全国編"
"0000030096","昭和55年国勢調査"
"0000030096","第1次基本集計"
"0000030096","全国編"
"0000030097","昭和55年国勢調査"
"0000030097","第1次基本集計"
"0000030097","全国編"
"0000030098","昭和55年国勢調査"
"0000030098","第1次基本集計"
"0000030098","全国編"
"0000030099","昭和55年国勢調査"
"0000030099","第1次基本集計"
"0000030099","全国編"
"0000030100","昭和55年国勢調査"
"0000030100","第1次基本集計"
"0000030100","全国編"
"0000030101","昭和55年国勢調査"
"0000030101","第1次基本集計"
"0000030101","全国編"
"0000030102","昭和55年国勢調査"
"0000030102","第1次基本集計"
"0000030102","全国編"
"0000030103","昭和55年国勢調査"
"0000030103","第1次基本集計"
"0000030103","全国編"
"0000030104","昭和55年国勢調査"
"0000030104","第1次基本集計"
"0000030104","全国編"
"0000030105","昭和55年国勢調査"
"0000030105","第1次基本集計"
"0000030105","全国編"
"0000030106","昭和55年国勢調査"
"0000030106","第1次基本集計"
"0000030106","全国編"
"0000030107","昭和55年国勢調査"
"0000030107","第1次基本集計"
"0000030107","全国編"
"0000030108","昭和55年国勢調査"
"0000030108","第1次基本集計"
"0000030108","全国編"
"0000030109","昭和55年国勢調査"
"0000030109","第1次基本集計"
"0000030109","全国編"
"0000030110","昭和55年国勢調査"
"0000030110","第1次基本集計"
"0000030110","全国編"
"0000030111","昭和55年国勢調査"
"0000030111","第1次基本集計"
"0000030111","全国編"
"0000030112","昭和55年国勢調査"
"0000030112","第1次基本集計"
"0000030112","全国編"
"0000030113","昭和55年国勢調査"
"0000030113","第1次基本集計"
"0000030113","全国編"
"0000030114","昭和55年国勢調査"
"0000030114","第1次基本集計"
"0000030114","全国編"
"0000030115","昭和55年国勢調査"
"0000030115","第1次基本集計"
"0000030115","全国編"
"0000030116","昭和55年国勢調査"
"0000030116","第1次基本集計"
"0000030116","全国編"
"0000030117","昭和55年国勢調査"
"0000030117","第1次基本集計"
"0000030117","全国編"
"0000030118","昭和55年国勢調査"
"0000030118","第1次基本集計"
"0000030118","全国編"
"0000030119","昭和55年国勢調査"
"0000030119","第1次基本集計"
"0000030119","全国編"
"0000030120","昭和55年国勢調査"
"0000030120","第1次基本集計"
"0000030120","全国編"
"0000030121","昭和55年国勢調査"
"0000030121","第1次基本集計"
"0000030121","全国編"
"0000030122","昭和55年国勢調査"
"0000030122","第1次基本集計"
"0000030122","全国編"
"0000030123","昭和55年国勢調査"
"0000030123","第1次基本集計"
"0000030123","全国編"
"0000030124","昭和55年国勢調査"
"0000030124","第1次基本集計"
"0000030124","全国編"
"0000030125","昭和55年国勢調査"
"0000030125","第1次基本集計"
"0000030125","全国編"
"0000030126","昭和55年国勢調査"
"0000030126","第1次基本集計"
"0000030126","全国編"
"0000030127","昭和55年国勢調査"
"0000030127","第1次基本集計"
"0000030127","都道府県編"
"0000030128","昭和55年国勢調査"
"0000030128","第1次基本集計"
"0000030128","都道府県編"
"0000030129","昭和55年国勢調査"
"0000030129","第1次基本集計"
"0000030129","都道府県編"
"0000030130","昭和55年国勢調査"
"0000030130","第1次基本集計"
"0000030130","都道府県編"
"0000030131","昭和55年国勢調査"
"0000030131","第1次基本集計"
"0000030131","都道府県編"
"0000030132","昭和55年国勢調査"
"0000030132","第1次基本集計"
"0000030132","都道府県編"
"0000030133","昭和55年国勢調査"
"0000030133","第1次基本集計"
"0000030133","都道府県編"
"0000030134","昭和55年国勢調査"
"0000030134","第1次基本集計"
"0000030134","都道府県編"
"0000030135","昭和55年国勢調査"
"0000030135","第1次基本集計"
"0000030135","都道府県編"
"0000030136","昭和55年国勢調査"
"0000030136","第1次基本集計"
"0000030136","都道府県編"
"0000030137","昭和55年国勢調査"
"0000030137","第1次基本集計"
"0000030137","都道府県編"
"0000030138","昭和55年国勢調査"
"0000030138","第1次基本集計"
"0000030138","都道府県編"
"0000030139","昭和55年国勢調査"
"0000030139","第1次基本集計"
"0000030139","都道府県編"
"0000030140","昭和55年国勢調査"
"0000030140","第1次基本集計"
"0000030140","都道府県編"
"0000030141","昭和55年国勢調査"
"0000030141","第1次基本集計"
"0000030141","都道府県編"
"0000030142","昭和55年国勢調査"
"0000030142","第1次基本集計"
"0000030142","都道府県編"
"0000030143","昭和55年国勢調査"
"0000030143","第1次基本集計"
"0000030143","都道府県編"
"0000030144","昭和55年国勢調査"
"0000030144","第1次基本集計"
"0000030144","都道府県編"
"0000030145","昭和55年国勢調査"
"0000030145","第1次基本集計"
"0000030145","都道府県編"
"0000030146","昭和55年国勢調査"
"0000030146","第1次基本集計"
"0000030146","都道府県編"
"0000030147","昭和55年国勢調査"
"0000030147","第1次基本集計"
"0000030147","都道府県編"
"0000030148","昭和55年国勢調査"
"0000030148","第1次基本集計"
"0000030148","都道府県編"
"0000030149","昭和55年国勢調査"
"0000030149","第1次基本集計"
"0000030149","都道府県編"
"0000030150","昭和55年国勢調査"
"0000030150","第1次基本集計"
"0000030150","都道府県編"
"0000030151","昭和55年国勢調査"
"0000030151","第1次基本集計"
"0000030151","都道府県編"
"0000030152","昭和55年国勢調査"
"0000030152","第1次基本集計"
"0000030152","都道府県編"
"0000030153","昭和55年国勢調査"
"0000030153","第1次基本集計"
"0000030153","都道府県編"
"0000030154","昭和55年国勢調査"
"0000030154","第1次基本集計"
"0000030154","都道府県編"
"0000030155","昭和55年国勢調査"
"0000030155","第1次基本集計"
"0000030155","都道府県編"
"0000030156","昭和55年国勢調査"
"0000030156","第1次基本集計"
"0000030156","都道府県編"
"0000030157","昭和55年国勢調査"
"0000030157","第1次基本集計"
"0000030157","都道府県編"
"0000030158","昭和55年国勢調査"
"0000030158","第1次基本集計"
"0000030158","都道府県編"
"0000030159","昭和55年国勢調査"
"0000030159","第1次基本集計"
"0000030159","都道府県編"
"0000030160","昭和55年国勢調査"
"0000030160","第1次基本集計"
"0000030160","都道府県編"
"0000030161","昭和55年国勢調査"
"0000030161","第1次基本集計"
"0000030161","都道府県編"
"0000030162","昭和55年国勢調査"
"0000030162","第1次基本集計"
"0000030162","都道府県編"
"0000030163","昭和55年国勢調査"
"0000030163","第1次基本集計"
"0000030163","都道府県編"
"0000030164","昭和55年国勢調査"
"0000030164","第1次基本集計"
"0000030164","都道府県編"
"0000030165","昭和55年国勢調査"
"0000030165","第1次基本集計"
"0000030165","都道府県編"
"0000030166","昭和55年国勢調査"
"0000030166","第1次基本集計"
"0000030166","都道府県編"
"0000030167","昭和55年国勢調査"
"0000030167","第1次基本集計"
"0000030167","都道府県編"
"0000030168","昭和55年国勢調査"
"0000030168","第1次基本集計"
"0000030168","都道府県編"
"0000030169","昭和55年国勢調査"
"0000030169","第1次基本集計"
"0000030169","都道府県編"
"0000030170","昭和55年国勢調査"
"0000030170","第1次基本集計"
"0000030170","都道府県編"
"0000030171","昭和55年国勢調査"
"0000030171","第1次基本集計"
"0000030171","都道府県編"
"0000030172","昭和55年国勢調査"
"0000030172","第1次基本集計"
"0000030172","都道府県編"
"0000030173","昭和55年国勢調査"
"0000030173","第1次基本集計"
"0000030173","都道府県編"
"0000030174","昭和55年国勢調査"
"0000030174","第1次基本集計"
"0000030174","都道府県編"
"0000030175","昭和55年国勢調査"
"0000030175","第1次基本集計"
"0000030175","都道府県編"
"0000030176","昭和55年国勢調査"
"0000030176","第1次基本集計"
"0000030176","都道府県編"
"0000030177","昭和55年国勢調査"
"0000030177","第1次基本集計"
"0000030177","都道府県編"
"0000030178","昭和55年国勢調査"
"0000030178","第1次基本集計"
"0000030178","都道府県編"
"0000030179","昭和55年国勢調査"
"0000030179","第1次基本集計"
"0000030179","都道府県編"
"0000030180","昭和55年国勢調査"
"0000030180","第1次基本集計"
"0000030180","都道府県編"
"0000030181","昭和55年国勢調査"
"0000030181","第1次基本集計"
"0000030181","都道府県編"
"0000030182","昭和55年国勢調査"
"0000030182","第1次基本集計"
"0000030182","都道府県編"
"0000030183","昭和55年国勢調査"
"0000030183","第1次基本集計"
"0000030183","都道府県編"
"0000030184","昭和55年国勢調査"
"0000030184","第1次基本集計"
"0000030184","都道府県編"
"0000030185","昭和55年国勢調査"
"0000030185","第1次基本集計"
"0000030185","都道府県編"
"0000030186","昭和55年国勢調査"
"0000030186","第1次基本集計"
"0000030186","都道府県編"
"0000030187","昭和55年国勢調査"
"0000030187","第1次基本集計"
"0000030187","都道府県編"
"0000030188","昭和55年国勢調査"
"0000030188","第1次基本集計"
"0000030188","都道府県編"
"0000030189","昭和55年国勢調査"
"0000030189","第1次基本集計"
"0000030189","都道府県編"
"0000030190","昭和55年国勢調査"
"0000030190","第1次基本集計"
"0000030190","都道府県編"
"0000030191","昭和55年国勢調査"
"0000030191","第1次基本集計"
"0000030191","都道府県編"
"0000030192","昭和55年国勢調査"
"0000030192","第1次基本集計"
"0000030192","都道府県編"
"0000030193","昭和55年国勢調査"
"0000030193","第1次基本集計"
"0000030193","都道府県編"
"0000030194","昭和55年国勢調査"
"0000030194","第1次基本集計"
"0000030194","都道府県編"
"0000030195","昭和55年国勢調査"
"0000030195","第1次基本集計"
"0000030195","都道府県編"
"0000030196","昭和55年国勢調査"
"0000030196","第1次基本集計"
"0000030196","都道府県編"
"0000030197","昭和55年国勢調査"
"0000030197","第1次基本集計"
"0000030197","都道府県編"
"0000030198","昭和55年国勢調査"
"0000030198","第1次基本集計"
"0000030198","都道府県編"
"0000030199","昭和55年国勢調査"
"0000030199","第1次基本集計"
"0000030199","都道府県編"
"0000030200","昭和55年国勢調査"
"0000030200","第1次基本集計"
"0000030200","都道府県編"
"0000030201","昭和55年国勢調査"
"0000030201","第1次基本集計"
"0000030201","都道府県編"
"0000030202","昭和55年国勢調査"
"0000030202","第1次基本集計"
"0000030202","都道府県編"
"0000030203","昭和55年国勢調査"
"0000030203","第1次基本集計"
"0000030203","都道府県編"
"0000030204","昭和55年国勢調査"
"0000030204","第1次基本集計"
"0000030204","都道府県編"
"0000030205","昭和55年国勢調査"
"0000030205","第1次基本集計"
"0000030205","都道府県編"
"0000030206","昭和55年国勢調査"
"0000030206","第1次基本集計"
"0000030206","都道府県編"
"0000030207","昭和55年国勢調査"
"0000030207","第1次基本集計"
"0000030207","都道府県編"
"0000030208","昭和55年国勢調査"
"0000030208","第1次基本集計"
"0000030208","都道府県編"
"0000030209","昭和55年国勢調査"
"0000030209","第1次基本集計"
"0000030209","都道府県編"
"0000030210","昭和55年国勢調査"
"0000030210","第1次基本集計"
"0000030210","都道府県編"
"0000030211","昭和55年国勢調査"
"0000030211","第1次基本集計"
"0000030211","都道府県編"
"0000030212","昭和55年国勢調査"
"0000030212","第1次基本集計"
"0000030212","都道府県編"
"0000030213","昭和55年国勢調査"
"0000030213","第1次基本集計"
"0000030213","都道府県編"
"0000030214","昭和55年国勢調査"
"0000030214","第1次基本集計"
"0000030214","都道府県編"
"0000030215","昭和55年国勢調査"
"0000030215","第1次基本集計"
"0000030215","都道府県編"
"0000030216","昭和55年国勢調査"
"0000030216","第1次基本集計"
"0000030216","都道府県編"
"0000030217","昭和55年国勢調査"
"0000030217","第1次基本集計"
"0000030217","都道府県編"
"0000030218","昭和55年国勢調査"
"0000030218","第1次基本集計"
"0000030218","都道府県編"
"0000030219","昭和55年国勢調査"
"0000030219","第1次基本集計"
"0000030219","都道府県編"
"0000030220","昭和55年国勢調査"
"0000030220","第1次基本集計"
"0000030220","都道府県編"
"0000030221","昭和55年国勢調査"
"0000030221","第1次基本集計"
"0000030221","都道府県編"
"0000030222","昭和55年国勢調査"
"0000030222","第1次基本集計"
"0000030222","都道府県編"
"0000030223","昭和55年国勢調査"
"0000030223","第1次基本集計"
"0000030223","都道府県編"
"0000030224","昭和55年国勢調査"
"0000030224","第1次基本集計"
"0000030224","都道府県編"
"0000030225","昭和55年国勢調査"
"0000030225","第1次基本集計"
"0000030225","都道府県編"
"0000030226","昭和55年国勢調査"
"0000030226","第1次基本集計"
"0000030226","都道府県編"
"0000030227","昭和55年国勢調査"
"0000030227","第1次基本集計"
"0000030227","都道府県編"
"0000030228","昭和55年国勢調査"
"0000030228","第1次基本集計"
"0000030228","都道府県編"
"0000030229","昭和55年国勢調査"
"0000030229","第1次基本集計"
"0000030229","都道府県編"
"0000030230","昭和55年国勢調査"
"0000030230","第1次基本集計"
"0000030230","都道府県編"
"0000030231","昭和55年国勢調査"
"0000030231","第1次基本集計"
"0000030231","都道府県編"
"0000030232","昭和55年国勢調査"
"0000030232","第1次基本集計"
"0000030232","都道府県編"
"0000030233","昭和55年国勢調査"
"0000030233","第1次基本集計"
"0000030233","都道府県編"
"0000030234","昭和55年国勢調査"
"0000030234","第1次基本集計"
"0000030234","都道府県編"
"0000030235","昭和55年国勢調査"
"0000030235","第1次基本集計"
"0000030235","都道府県編"
"0000030236","昭和55年国勢調査"
"0000030236","第1次基本集計"
"0000030236","都道府県編"
"0000030237","昭和55年国勢調査"
"0000030237","第1次基本集計"
"0000030237","都道府県編"
"0000030238","昭和55年国勢調査"
"0000030238","第1次基本集計"
"0000030238","都道府県編"
"0000030239","昭和55年国勢調査"
"0000030239","第1次基本集計"
"0000030239","都道府県編"
"0000030240","昭和55年国勢調査"
"0000030240","第1次基本集計"
"0000030240","都道府県編"
"0000030241","昭和55年国勢調査"
"0000030241","第1次基本集計"
"0000030241","都道府県編"
"0000030242","昭和55年国勢調査"
"0000030242","第1次基本集計"
"0000030242","都道府県編"
"0000030243","昭和55年国勢調査"
"0000030243","第1次基本集計"
"0000030243","都道府県編"
"0000030244","昭和55年国勢調査"
"0000030244","第1次基本集計"
"0000030244","都道府県編"
"0000030245","昭和55年国勢調査"
"0000030245","第1次基本集計"
"0000030245","都道府県編"
"0000030246","昭和55年国勢調査"
"0000030246","第1次基本集計"
"0000030246","都道府県編"
"0000030247","昭和55年国勢調査"
"0000030247","第1次基本集計"
"0000030247","都道府県編"
"0000030248","昭和55年国勢調査"
"0000030248","第1次基本集計"
"0000030248","都道府県編"
"0000030249","昭和55年国勢調査"
"0000030249","第1次基本集計"
"0000030249","都道府県編"
"0000030250","昭和55年国勢調査"
"0000030250","第1次基本集計"
"0000030250","都道府県編"
"0000030251","昭和55年国勢調査"
"0000030251","第1次基本集計"
"0000030251","都道府県編"
"0000030252","昭和55年国勢調査"
"0000030252","第1次基本集計"
"0000030252","都道府県編"
"0000030253","昭和55年国勢調査"
"0000030253","第1次基本集計"
"0000030253","都道府県編"
"0000030254","昭和55年国勢調査"
"0000030254","第1次基本集計"
"0000030254","都道府県編"
"0000030255","昭和55年国勢調査"
"0000030255","第1次基本集計"
"0000030255","都道府県編"
"0000030256","昭和55年国勢調査"
"0000030256","第1次基本集計"
"0000030256","都道府県編"
"0000030257","昭和55年国勢調査"
"0000030257","第1次基本集計"
"0000030257","都道府県編"
"0000030258","昭和55年国勢調査"
"0000030258","第1次基本集計"
"0000030258","都道府県編"
"0000030259","昭和55年国勢調査"
"0000030259","第1次基本集計"
"0000030259","都道府県編"
"0000030260","昭和55年国勢調査"
"0000030260","第1次基本集計"
"0000030260","都道府県編"
"0000030261","昭和55年国勢調査"
"0000030261","第1次基本集計"
"0000030261","都道府県編"
"0000030262","昭和55年国勢調査"
"0000030262","第1次基本集計"
"0000030262","都道府県編"
"0000030263","昭和55年国勢調査"
"0000030263","第2次基本集計"
"0000030263","全国編"
"0000030264","昭和55年国勢調査"
"0000030264","第2次基本集計"
"0000030264","全国編"
"0000030265","昭和55年国勢調査"
"0000030265","第2次基本集計"
"0000030265","全国編"
"0000030266","昭和55年国勢調査"
"0000030266","第2次基本集計"
"0000030266","全国編"
"0000030267","昭和55年国勢調査"
"0000030267","第2次基本集計"
"0000030267","全国編"
"0000030268","昭和55年国勢調査"
"0000030268","第2次基本集計"
"0000030268","全国編"
"0000030269","昭和55年国勢調査"
"0000030269","第2次基本集計"
"0000030269","全国編"
"0000030270","昭和55年国勢調査"
"0000030270","第2次基本集計"
"0000030270","全国編"
"0000030271","昭和55年国勢調査"
"0000030271","第2次基本集計"
"0000030271","全国編"
"0000030272","昭和55年国勢調査"
"0000030272","第2次基本集計"
"0000030272","全国編"
"0000030273","昭和55年国勢調査"
"0000030273","第2次基本集計"
"0000030273","全国編"
"0000030274","昭和55年国勢調査"
"0000030274","第2次基本集計"
"0000030274","全国編"
"0000030275","昭和55年国勢調査"
"0000030275","第2次基本集計"
"0000030275","全国編"
"0000030276","昭和55年国勢調査"
"0000030276","第2次基本集計"
"0000030276","全国編"
"0000030277","昭和55年国勢調査"
"0000030277","第2次基本集計"
"0000030277","全国編"
"0000030278","昭和55年国勢調査"
"0000030278","第2次基本集計"
"0000030278","全国編"
"0000030279","昭和55年国勢調査"
"0000030279","第2次基本集計"
"0000030279","全国編"
"0000030280","昭和55年国勢調査"
"0000030280","第2次基本集計"
"0000030280","全国編"
"0000030281","昭和55年国勢調査"
"0000030281","第2次基本集計"
"0000030281","全国編"
"0000030282","昭和55年国勢調査"
"0000030282","第2次基本集計"
"0000030282","全国編"
"0000030283","昭和55年国勢調査"
"0000030283","第2次基本集計"
"0000030283","全国編"
"0000030284","昭和55年国勢調査"
"0000030284","第2次基本集計"
"0000030284","全国編"
"0000030285","昭和55年国勢調査"
"0000030285","第2次基本集計"
"0000030285","全国編"
"0000030286","昭和55年国勢調査"
"0000030286","第2次基本集計"
"0000030286","全国編"
"0000030287","昭和55年国勢調査"
"0000030287","第2次基本集計"
"0000030287","全国編"
"0000030288","昭和55年国勢調査"
"0000030288","第2次基本集計"
"0000030288","全国編"
"0000030289","昭和55年国勢調査"
"0000030289","第2次基本集計"
"0000030289","全国編"
"0000030290","昭和55年国勢調査"
"0000030290","第2次基本集計"
"0000030290","全国編"
"0000030291","昭和55年国勢調査"
"0000030291","第2次基本集計"
"0000030291","全国編"
"0000030292","昭和55年国勢調査"
"0000030292","第2次基本集計"
"0000030292","全国編"
"0000030293","昭和55年国勢調査"
"0000030293","第2次基本集計"
"0000030293","全国編"
"0000030294","昭和55年国勢調査"
"0000030294","第2次基本集計"
"0000030294","全国編"
"0000030295","昭和55年国勢調査"
"0000030295","第2次基本集計"
"0000030295","全国編"
"0000030296","昭和55年国勢調査"
"0000030296","第2次基本集計"
"0000030296","全国編"
"0000030297","昭和55年国勢調査"
"0000030297","第2次基本集計"
"0000030297","全国編"
"0000030298","昭和55年国勢調査"
"0000030298","第2次基本集計"
"0000030298","全国編"
"0000030299","昭和55年国勢調査"
"0000030299","第2次基本集計"
"0000030299","全国編"
"0000030300","昭和55年国勢調査"
"0000030300","第2次基本集計"
"0000030300","全国編"
"0000030301","昭和55年国勢調査"
"0000030301","第2次基本集計"
"0000030301","全国編"
"0000030302","昭和55年国勢調査"
"0000030302","第2次基本集計"
"0000030302","全国編"
"0000030303","昭和55年国勢調査"
"0000030303","第2次基本集計"
"0000030303","全国編"
"0000030304","昭和55年国勢調査"
"0000030304","第2次基本集計"
"0000030304","全国編"
"0000030305","昭和55年国勢調査"
"0000030305","第2次基本集計"
"0000030305","全国編"
"0000030306","昭和55年国勢調査"
"0000030306","第2次基本集計"
"0000030306","全国編"
"0000030307","昭和55年国勢調査"
"0000030307","第2次基本集計"
"0000030307","全国編"
"0000030308","昭和55年国勢調査"
"0000030308","第2次基本集計"
"0000030308","全国編"
"0000030309","昭和55年国勢調査"
"0000030309","第2次基本集計"
"0000030309","全国編"
"0000030310","昭和55年国勢調査"
"0000030310","第2次基本集計"
"0000030310","全国編"
"0000030311","昭和55年国勢調査"
"0000030311","第2次基本集計"
"0000030311","全国編"
