"STATDISPID","class.name"
"0000030026","年齢各歳階級Ｃ030033"
"0000030026","配偶関係Ｃ030009"
"0000030027","男女Ｂ030005"
"0000030027","年齢５歳階級Ｃ030034"
"0000030027","配偶関係Ｃ030009"
"0000030028","男女Ｂ030005"
"0000030028","年齢５歳階級Ｃ030034"
"0000030028","配偶関係Ｃ030009"
"0000030029","全域・集中の別030002"
"0000030029","男女Ｂ030005"
"0000030029","年齢各歳階級Ｃ030033"
"0000030029","配偶関係Ｃ030009"
"0000030030","全域・集中の別030002"
"0000030030","男女Ｂ030005"
"0000030030","年齢各歳階級Ｃ030033"
"0000030030","配偶関係Ｃ030009"
"0000030031","男女Ｂ030005"
"0000030031","年齢５歳階級Ｃ030034"
"0000030031","配偶関係Ｃ030009"
"0000030032","男女Ｂ030005"
"0000030032","年齢５歳階級Ｃ030034"
"0000030032","配偶関係Ｃ030009"
"0000030033","全域・集中の別030002"
"0000030033","収入Ｃ030035"
"0000030034","全域・集中の別030002"
"0000030034","収入Ｃ030035"
"0000030035","全域・集中の別030002"
"0000030035","収入Ｃ030035"
"0000030036","全域・集中の別030002"
"0000030036","収入Ｃ030035"
"0000030037","全域・集中の別030002"
"0000030037","収入Ｃ030035"
"0000030038","全域・集中の別030002"
"0000030038","収入Ｃ030035"
"0000030039","全域・集中の別030002"
"0000030039","収入Ｃ030035"
"0000030040","全域・集中の別030002"
"0000030040","収入Ｃ030035"
"0000030041","全域・集中の別030002"
"0000030041","収入Ｃ030035"
"0000030042","全域・集中の別030002"
"0000030042","収入Ｃ030035"
"0000030043","全域・集中の別030002"
"0000030043","収入Ｃ030035"
"0000030044","全域・集中の別030002"
"0000030044","収入Ｃ030035"
"0000030045","全域・集中の別030002"
"0000030045","収入Ｃ030035"
"0000030046","全域・集中の別030002"
"0000030046","収入Ｃ030035"
"0000030047","全域・集中の別030002"
"0000030047","収入Ｃ030035"
"0000030048","全域・集中の別030002"
"0000030048","収入Ｃ030035"
"0000030049","全域・集中の別030002"
"0000030049","収入Ｃ030035"
"0000030050","全域・集中の別030002"
"0000030050","収入Ｃ030035"
"0000030051","全域・集中の別030002"
"0000030051","収入Ｃ030035"
"0000030052","全域・集中の別030002"
"0000030052","収入Ｃ030035"
"0000030053","全域・集中の別030002"
"0000030053","収入Ｃ030035"
"0000030054","全域・集中の別030002"
"0000030054","収入Ｃ030035"
"0000030055","全域・集中の別030002"
"0000030055","家族類型030036"
"0000030056","全域・集中の別030002"
"0000030056","家族類型030036"
"0000030057","全域・集中の別030002"
"0000030057","家族類型030036"
"0000030058","全域・集中の別030002"
"0000030058","家族類型030036"
"0000030059","全域・集中の別030002"
"0000030059","家族類型030036"
"0000030060","全域・集中の別030002"
"0000030060","家族類型030036"
"0000030061","全域・集中の別030002"
"0000030061","家族類型030036"
"0000030062","全域・集中の別030002"
"0000030062","家族類型030036"
"0000030063","全域・集中の別030002"
"0000030063","家族類型030036"
"0000030064","全域・集中の別030002"
"0000030064","家族類型030036"
"0000030065","全域・集中の別030002"
"0000030065","家族類型030036"
"0000030066","全域・集中の別030002"
"0000030066","家族類型030036"
"0000030067","全域・集中の別030002"
"0000030067","家族類型030036"
"0000030068","全域・集中の別030002"
"0000030068","一般・単独世帯030037"
"0000030069","全域・集中の別030002"
"0000030069","一般・単独世帯030037"
"0000030070","全域・集中の別030002"
"0000030070","一般・単独世帯030037"
"0000030071","全域・集中の別030002"
"0000030071","一般・単独世帯030037"
"0000030072","全域・集中の別030002"
"0000030072","一般・単独世帯030037"
"0000030073","全域・集中の別030002"
"0000030073","一般・単独世帯030037"
"0000030074","全域・集中の別030002"
"0000030074","一般・単独世帯030037"
"0000030075","全域・集中の別030002"
"0000030075","一般・単独世帯030037"
"0000030076","全域・集中の別030002"
"0000030076","一般・単独世帯030037"
"0000030077","全域・集中の別030002"
"0000030077","一般・単独世帯030037"
"0000030078","全域・集中の別030002"
"0000030078","一般・単独世帯030037"
"0000030079","全域・集中の別030002"
"0000030079","一般・単独世帯030037"
"0000030080","全域・集中の別030002"
"0000030080","一般・単独世帯030037"
"0000030081","全域・集中の別030002"
"0000030081","世帯経済構成Ｂ030038"
"0000030081","親普通世帯030039"
"0000030082","全域・集中の別030002"
"0000030082","世帯経済構成Ｂ030038"
"0000030082","６未親世帯等030040"
"0000030083","全域・集中の別030002"
"0000030083","世帯経済構成Ｂ030038"
"0000030083","１８未親世帯030041"
"0000030084","全域・集中の別030002"
"0000030084","世帯経済構成Ｂ030038"
"0000030084","65歳以上親族世帯030042"
"0000030085","全域・集中の別030002"
"0000030085","世帯経済構成Ｂ030038"
"0000030085","一般親１世帯030043"
"0000030086","全域・集中の別030002"
"0000030086","経済構成・産業030044"
"0000030086","普通世帯数等030045"
"0000030087","全域・集中の別030002"
"0000030087","経済構成・産業030044"
"0000030087","一般世帯数等030046"
"0000030088","全域・集中の別030002"
"0000030088","経済構成・産業030044"
"0000030088","親就１普通世帯030047"
"0000030089","全域・集中の別030002"
"0000030089","経済構成・産業030044"
"0000030089","親就１一般世帯030048"
"0000030090","全域・集中の別030002"
"0000030090","住宅の所有Ａ030049"
"0000030090","世帯主入居Ａ030050"
"0000030090","住宅の建て方Ａ030051"
"0000030091","全域・集中の別030002"
"0000030091","住宅の所有Ａ030049"
"0000030091","世帯主入居Ａ030050"
"0000030091","住宅の建て方Ａ030051"
"0000030092","全域・集中の別030002"
"0000030092","住宅の所有Ａ030049"
"0000030092","世帯主入居Ａ030050"
"0000030092","住宅の建て方Ａ030051"
"0000030093","全域・集中の別030002"
"0000030093","住宅の所有Ａ030049"
"0000030093","世帯主入居Ａ030050"
"0000030093","住宅の建て方Ａ030051"
"0000030094","全域・集中の別030002"
"0000030094","住宅の所有Ａ030049"
"0000030094","世帯主入居Ａ030050"
"0000030094","住宅の建て方Ａ030051"
"0000030095","全域・集中の別030002"
"0000030095","住宅の所有Ａ030049"
"0000030095","世帯主入居Ａ030050"
"0000030095","住宅の建て方Ａ030051"
"0000030096","全域・集中の別030002"
"0000030096","住宅の所有Ａ030049"
"0000030096","世帯主入居Ａ030050"
"0000030096","住宅の建て方Ａ030051"
"0000030097","全域・集中の別030002"
"0000030097","世帯主入居Ａ030050"
"0000030097","住宅の建て方Ａ030051"
"0000030098","住宅の所有Ａ030049"
"0000030098","世帯主入居Ａ030050"
"0000030098","住宅の建て方Ｂ030052"
"0000030099","住宅の所有Ａ030049"
"0000030099","世帯主入居Ａ030050"
"0000030099","住宅の建て方Ｂ030052"
"0000030100","住宅の所有Ａ030049"
"0000030100","世帯主入居Ａ030050"
"0000030100","住宅の建て方Ｂ030052"
"0000030101","住宅の所有Ａ030049"
"0000030101","世帯主入居Ａ030050"
"0000030101","住宅の建て方Ｂ030052"
"0000030102","住宅の所有Ａ030049"
"0000030102","世帯主入居Ａ030050"
"0000030102","住宅の建て方Ｂ030052"
"0000030103","住宅の所有Ａ030049"
"0000030103","世帯主入居Ａ030050"
"0000030103","住宅の建て方Ｂ030052"
"0000030104","住宅の所有Ａ030049"
"0000030104","世帯主入居Ａ030050"
"0000030104","住宅の建て方Ｂ030052"
"0000030105","世帯主入居Ａ030050"
"0000030105","住宅の建て方Ｂ030052"
"0000030106","全域・集中の別030002"
"0000030106","住宅の所有Ｂ030053"
"0000030106","世帯主入居Ｂ030054"
"0000030106","普通世帯数・普030055"
"0000030107","全域・集中の別030002"
"0000030107","世帯主入居Ｂ030054"
"0000030107","間借1人世帯030056"
"0000030108","全域・集中の別030002"
"0000030108","住宅の建て方Ｂ030052"
"0000030108","住宅に住む普通030057"
"0000030109","全域・集中の別030002"
"0000030109","住宅の所有Ａ030058"
"0000030109","世帯人員Ｃ030059"
"0000030109","居住室数030060"
"0000030110","全域・集中の別030002"
"0000030110","住宅の所有Ａ030058"
"0000030110","世帯人員Ｃ030059"
"0000030110","１世帯室数030061"
"0000030111","全域・集中の別030002"
"0000030111","住宅の所有Ａ030058"
"0000030111","世帯人員Ｃ030059"
"0000030111","１室人員030062"
"0000030112","全域・集中の別030002"
"0000030112","住宅の所有Ａ030058"
"0000030112","世帯人員Ｃ030059"
"0000030112","居住室数030060"
"0000030113","全域・集中の別030002"
"0000030113","住宅の所有Ａ030058"
"0000030113","居住室数030060"
"0000030114","全域・集中の別030002"
"0000030114","居住室数030060"
"0000030115","全域・集中の別030002"
"0000030115","間借1人世帯030063"
"0000030116","全域・集中の別030002"
"0000030116","間借1人世帯030064"
"0000030117","全域・集中の別030002"
"0000030117","居住室数030060"
"0000030118","全域・集中の別030002"
"0000030118","住宅の所有Ａ030058"
"0000030118","世帯人員Ｃ030059"
"0000030118","畳数Ａ030065"
"0000030119","全域・集中の別030002"
"0000030119","住宅の所有Ａ030058"
"0000030119","畳数Ａ030065"
"0000030120","全域・集中の別030002"
"0000030120","畳数Ａ030065"
"0000030121","全域・集中の別030002"
"0000030121","間借1人世帯030066"
"0000030122","全域・集中の別030002"
"0000030122","住宅の所有Ａ030058"
"0000030122","世帯人員Ｃ030059"
"0000030122","１人畳数030067"
"0000030123","全域・集中の別030002"
"0000030123","住宅の所有Ａ030058"
"0000030123","１人当畳数Ａ030068"
"0000030123","居住室数030060"
"0000030124","全域・集中の別030002"
"0000030124","住宅の所有Ａ030058"
"0000030124","１人当畳数Ａ030068"
"0000030124","居住室数030060"
"0000030125","全域・集中の別030002"
"0000030125","１人当畳数Ａ030068"
"0000030125","居住室数030060"
"0000030126","全域・集中の別030002"
"0000030126","１人当畳数Ａ030068"
"0000030126","居住室数030060"
"0000030127","全域・集中の別030002"
"0000030127","男女Ａ030001"
"0000030127","年齢５歳階級Ａ030002"
"0000030128","全域・集中の別030002"
"0000030128","男女Ａ030001"
"0000030128","年齢各歳階級Ｂ030003"
"0000030129","全域・集中の別030002"
"0000030129","総日本人030004"
"0000030129","男女Ｂ030005"
"0000030129","年齢各歳階級Ａ030006"
"0000030129","出生の月030007"
"0000030130","全域・集中の別030002"
"0000030130","男女Ｂ030005"
"0000030130","15歳以上年齢030020"
"0000030130","配偶関係Ｃ030009"
"0000030131","全域・集中の別030002"
"0000030131","総日本人030004"
"0000030131","男女Ｂ030005"
"0000030131","15歳以上年齢030008"
"0000030131","配偶関係Ｃ030009"
"0000030132","全域・集中の別030002"
"0000030132","男女Ａ030001"
"0000030132","年齢５歳階級Ｂ030010"
"0000030132","国籍030011"
"0000030133","全域・集中の別030002"
"0000030133","男女Ａ030001"
"0000030133","国籍030011"
"0000030134","全域・集中の別030002"
"0000030134","男女Ａ030001"
"0000030134","入居・前住Ａ030012"
"0000030134","年齢５歳階級Ｄ030013"
"0000030135","全域・集中の別030002"
"0000030135","男女Ａ030001"
"0000030135","入居・前住Ａ030012"
"0000030136","全域・集中の別030002"
"0000030136","男女Ａ030001"
"0000030136","15歳以上年齢030014"
"0000030136","教育030015"
"0000030137","全域・集中の別030002"
"0000030137","男女Ａ030001"
"0000030137","年齢各歳階級Ｅ030016"
"0000030137","在学学校Ｂ030017"
"0000030138","全域・集中の別030002"
"0000030138","男女Ａ030001"
"0000030138","年齢各歳階級Ｅ030016"
"0000030138","未就学030018"
"0000030139","全域・集中の別030002"
"0000030139","男女Ａ030001"
"0000030139","在学学校Ｂ030017"
"0000030140","全域・集中の別030002"
"0000030140","男女Ａ030001"
"0000030140","未就学030018"
"0000030141","全域・集中の別030002"
"0000030141","男女Ａ030001"
"0000030141","15歳以上年齢030020"
"0000030141","労働力状態030019"
"0000030142","全域・集中の別030002"
"0000030142","男女Ａ030001"
"0000030142","年齢１５－６４030069"
"0000030142","労働力状態030019"
"0000030143","全域・集中の別030002"
"0000030143","男女Ａ030001"
"0000030143","15歳以上年齢030020"
"0000030143","労働力状態030070"
"0000030144","全域・集中の別030002"
"0000030144","男女Ａ030001"
"0000030144","産業大分類Ａ030021"
"0000030144","従業地位Ｂ030022"
"0000030145","全域・集中の別030002"
"0000030145","従業地位Ｆ030023"
"0000030145","男女Ａ030001"
"0000030145","15歳以上年齢030020"
"0000030145","産業大分類Ｂ030024"
"0000030146","全域・集中の別030002"
"0000030146","世帯人員Ａ030025"
"0000030147","全域・集中の別030002"
"0000030147","普通世帯員等030026"
"0000030148","全域・集中の別030002"
"0000030148","一般１世帯等030027"
"0000030149","全域・集中の別030002"
"0000030149","一般１世帯等030028"
"0000030150","全域・集中の別030002"
"0000030150","準世帯Ａ030029"
"0000030151","全域・集中の別030002"
"0000030151","施設人員030030"
"0000030152","全域・集中の別030002"
"0000030152","準世帯Ａ030029"
"0000030153","全域・集中の別030002"
"0000030153","準世帯人員Ａ030031"
"0000030154","全域・集中の別030002"
"0000030154","準世帯人員Ａ030031"
"0000030155","全域・集中の別030002"
"0000030155","世帯主続柄Ｃ030032"
"0000030155","男女Ｂ030005"
"0000030155","年齢５歳階級Ｃ030034"
"0000030155","配偶関係Ｃ030009"
"0000030156","全域・集中の別030002"
"0000030156","男女Ｂ030005"
"0000030156","年齢５歳階級Ｃ030034"
"0000030156","配偶関係Ｃ030009"
"0000030157","全域・集中の別030002"
"0000030157","男女Ｂ030005"
"0000030157","年齢５歳階級Ｃ030034"
"0000030157","配偶関係Ｃ030009"
"0000030158","全域・集中の別030002"
"0000030158","男女Ｂ030005"
"0000030158","年齢５歳階級Ｃ030034"
"0000030158","配偶関係Ｃ030009"
"0000030159","全域・集中の別030002"
"0000030159","男女Ｂ030005"
"0000030159","年齢５歳階級Ｃ030034"
"0000030159","配偶関係Ｃ030009"
"0000030160","全域・集中の別030002"
"0000030160","収入Ｃ030035"
"0000030161","全域・集中の別030002"
"0000030161","収入Ｃ030035"
"0000030162","全域・集中の別030002"
"0000030162","収入Ｃ030035"
"0000030163","全域・集中の別030002"
"0000030163","収入Ｃ030035"
"0000030164","全域・集中の別030002"
"0000030164","収入Ｃ030035"
"0000030165","全域・集中の別030002"
"0000030165","収入Ｃ030035"
"0000030166","全域・集中の別030002"
"0000030166","収入Ｃ030035"
"0000030167","全域・集中の別030002"
"0000030167","収入Ｃ030035"
"0000030168","全域・集中の別030002"
"0000030168","収入Ｃ030035"
"0000030169","全域・集中の別030002"
"0000030169","収入Ｃ030035"
"0000030170","全域・集中の別030002"
"0000030170","収入Ｃ030035"
"0000030171","全域・集中の別030002"
"0000030171","収入Ｃ030035"
"0000030172","全域・集中の別030002"
"0000030172","収入Ｃ030035"
"0000030173","全域・集中の別030002"
"0000030173","収入Ｃ030035"
"0000030174","全域・集中の別030002"
"0000030174","収入Ｃ030035"
"0000030175","全域・集中の別030002"
"0000030175","収入Ｃ030035"
"0000030176","全域・集中の別030002"
"0000030176","収入Ｃ030035"
"0000030177","全域・集中の別030002"
"0000030177","収入Ｃ030035"
"0000030178","全域・集中の別030002"
"0000030178","家族類型030036"
"0000030179","全域・集中の別030002"
"0000030179","家族類型030036"
"0000030180","全域・集中の別030002"
"0000030180","家族類型030036"
"0000030181","全域・集中の別030002"
"0000030181","家族類型030036"
"0000030182","全域・集中の別030002"
"0000030182","家族類型030036"
"0000030183","全域・集中の別030002"
"0000030183","家族類型030036"
"0000030184","全域・集中の別030002"
"0000030184","家族類型030036"
"0000030185","全域・集中の別030002"
"0000030185","家族類型030036"
"0000030186","全域・集中の別030002"
"0000030186","家族類型030036"
"0000030187","全域・集中の別030002"
"0000030187","家族類型030036"
"0000030188","全域・集中の別030002"
"0000030188","家族類型030036"
"0000030189","全域・集中の別030002"
"0000030189","家族類型030036"
"0000030190","全域・集中の別030002"
"0000030190","家族類型030036"
"0000030191","全域・集中の別030002"
"0000030191","一般・単独世帯030037"
"0000030192","全域・集中の別030002"
"0000030192","一般・単独世帯030037"
"0000030193","全域・集中の別030002"
"0000030193","一般・単独世帯030037"
"0000030194","全域・集中の別030002"
"0000030194","一般・単独世帯030037"
"0000030195","全域・集中の別030002"
"0000030195","一般・単独世帯030037"
"0000030196","全域・集中の別030002"
"0000030196","一般・単独世帯030037"
"0000030197","全域・集中の別030002"
"0000030197","一般・単独世帯030037"
"0000030198","全域・集中の別030002"
"0000030198","一般・単独世帯030037"
"0000030199","全域・集中の別030002"
"0000030199","一般・単独世帯030037"
"0000030200","全域・集中の別030002"
"0000030200","一般・単独世帯030037"
"0000030201","全域・集中の別030002"
"0000030201","一般・単独世帯030037"
"0000030202","全域・集中の別030002"
"0000030202","一般・単独世帯030037"
"0000030203","全域・集中の別030002"
"0000030203","一般・単独世帯030037"
"0000030204","全域・集中の別030002"
"0000030204","世帯経済構成Ｂ030038"
"0000030204","親普通世帯030039"
"0000030205","全域・集中の別030002"
"0000030205","世帯経済構成Ｂ030038"
"0000030205","６未親世帯等030040"
"0000030206","全域・集中の別030002"
"0000030206","世帯経済構成Ｂ030038"
"0000030206","１８未親世帯030041"
"0000030207","全域・集中の別030002"
"0000030207","世帯経済構成Ｂ030038"
"0000030207","65歳以上親族世帯030042"
"0000030208","全域・集中の別030002"
"0000030208","世帯経済構成Ｂ030038"
"0000030208","一般親１世帯030043"
"0000030209","全域・集中の別030002"
"0000030209","世帯経済構成Ｂ030038"
"0000030209","普通世帯数等030071"
"0000030210","全域・集中の別030002"
"0000030210","世帯経済構成Ｂ030038"
"0000030210","１８未親世帯030041"
"0000030211","全域・集中の別030002"
"0000030211","世帯経済構成Ｂ030038"
"0000030211","65歳以上親族世帯030042"
"0000030212","全域・集中の別030002"
"0000030212","世帯経済構成Ｂ030038"
"0000030212","一般世帯数030072"
"0000030213","全域・集中の別030002"
"0000030213","経済構成・産業030044"
"0000030213","普通世帯数等030045"
"0000030214","全域・集中の別030002"
"0000030214","経済構成・産業030044"
"0000030214","一般世帯数等030046"
"0000030215","全域・集中の別030002"
"0000030215","経済構成・産業030044"
"0000030215","親就１普通世帯030047"
"0000030216","全域・集中の別030002"
"0000030216","経済構成・産業030044"
"0000030216","親就１一般世帯030048"
"0000030217","全域・集中の別030002"
"0000030217","住宅の所有Ａ030049"
"0000030217","世帯主入居Ａ030050"
"0000030217","住宅の建て方Ｂ030052"
"0000030218","全域・集中の別030002"
"0000030218","住宅の所有Ａ030049"
"0000030218","世帯主入居Ａ030050"
"0000030218","住宅の建て方Ｂ030052"
"0000030219","全域・集中の別030002"
"0000030219","住宅の所有Ａ030049"
"0000030219","世帯主入居Ａ030050"
"0000030219","住宅の建て方Ｂ030052"
"0000030220","全域・集中の別030002"
"0000030220","住宅の所有Ａ030049"
"0000030220","世帯主入居Ａ030050"
"0000030220","住宅の建て方Ｂ030052"
"0000030221","全域・集中の別030002"
"0000030221","住宅の所有Ａ030049"
"0000030221","世帯主入居Ａ030050"
"0000030221","住宅の建て方Ｂ030052"
"0000030222","全域・集中の別030002"
"0000030222","住宅の所有Ａ030049"
"0000030222","世帯主入居Ａ030050"
"0000030222","住宅の建て方Ｂ030052"
"0000030223","全域・集中の別030002"
"0000030223","住宅の所有Ａ030049"
"0000030223","世帯主入居Ａ030050"
"0000030223","住宅の建て方Ｂ030052"
"0000030224","全域・集中の別030002"
"0000030224","世帯主入居Ａ030050"
"0000030224","住宅の建て方Ｂ030052"
"0000030225","全域・集中の別030002"
"0000030225","住宅の所有Ｂ030053"
"0000030225","世帯主入居Ｂ030054"
"0000030225","普通世帯数・普030055"
"0000030226","全域・集中の別030002"
"0000030226","世帯主入居Ｂ030054"
"0000030226","間借1人世帯030056"
"0000030227","全域・集中の別030002"
"0000030227","住宅の建て方Ｂ030052"
"0000030227","住宅に住む普通030057"
"0000030228","全域・集中の別030002"
"0000030228","住宅の所有Ａ030058"
"0000030228","世帯人員Ｃ030059"
"0000030228","居住室数030060"
"0000030229","全域・集中の別030002"
"0000030229","住宅の所有Ａ030058"
"0000030229","世帯人員Ｃ030059"
"0000030229","１世帯室数030061"
"0000030230","全域・集中の別030002"
"0000030230","住宅の所有Ａ030058"
"0000030230","世帯人員Ｃ030059"
"0000030230","１室人員030062"
"0000030231","全域・集中の別030002"
"0000030231","住宅の所有Ａ030058"
"0000030231","世帯人員Ｃ030059"
"0000030231","居住室数030060"
"0000030232","全域・集中の別030002"
"0000030232","住宅の所有Ａ030058"
"0000030232","居住室数030060"
"0000030233","全域・集中の別030002"
"0000030233","居住室数030060"
"0000030234","全域・集中の別030002"
"0000030234","間借1人世帯030063"
"0000030235","全域・集中の別030002"
"0000030235","間借1人世帯030064"
"0000030236","全域・集中の別030002"
"0000030236","居住室数030060"
"0000030237","全域・集中の別030002"
"0000030237","世帯人員Ｃ030059"
"0000030237","居住室数030060"
"0000030238","全域・集中の別030002"
"0000030238","世帯人員Ｃ030059"
"0000030238","１世帯室数030061"
"0000030239","全域・集中の別030002"
"0000030239","世帯人員Ｃ030059"
"0000030239","１室人員030062"
"0000030240","全域・集中の別030002"
"0000030240","世帯人員Ｃ030059"
"0000030240","居住室数030060"
"0000030241","全域・集中の別030002"
"0000030241","居住室数030060"
"0000030242","全域・集中の別030002"
"0000030242","居住室数030060"
"0000030243","全域・集中の別030002"
"0000030243","間借1人世帯030063"
"0000030244","全域・集中の別030002"
"0000030244","間借1人世帯030064"
"0000030245","全域・集中の別030002"
"0000030245","居住室数030060"
"0000030246","全域・集中の別030002"
"0000030246","住宅の所有Ａ030058"
"0000030246","世帯人員Ｃ030059"
"0000030246","畳数Ａ030065"
"0000030247","全域・集中の別030002"
"0000030247","住宅の所有Ａ030058"
"0000030247","畳数Ａ030065"
"0000030248","全域・集中の別030002"
"0000030248","畳数Ａ030065"
"0000030249","全域・集中の別030002"
"0000030249","間借1人世帯030066"
"0000030250","全域・集中の別030002"
"0000030250","住宅の所有Ａ030058"
"0000030250","世帯人員Ｃ030059"
"0000030250","１人畳数030067"
"0000030251","全域・集中の別030002"
"0000030251","世帯人員Ｃ030059"
"0000030251","畳数Ａ030065"
"0000030252","全域・集中の別030002"
"0000030252","畳数Ａ030065"
"0000030253","全域・集中の別030002"
"0000030253","畳数Ａ030065"
"0000030254","全域・集中の別030002"
"0000030254","世帯人員Ｃ030059"
"0000030254","１人畳数030067"
"0000030255","全域・集中の別030002"
"0000030255","住宅の所有Ａ030058"
"0000030255","１人当畳数Ａ030068"
"0000030255","居住室数030060"
"0000030256","全域・集中の別030002"
"0000030256","住宅の所有Ａ030058"
"0000030256","１人当畳数Ａ030068"
"0000030256","居住室数030060"
"0000030257","全域・集中の別030002"
"0000030257","１人当畳数Ａ030068"
"0000030257","居住室数030060"
"0000030258","全域・集中の別030002"
"0000030258","１人当畳数Ａ030068"
"0000030258","居住室数030060"
"0000030259","全域・集中の別030002"
"0000030259","住宅の所有Ｂ030073"
"0000030259","１人当畳数Ａ030068"
"0000030260","全域・集中の別030002"
"0000030260","住宅の所有Ｂ030073"
"0000030260","１人当畳数Ａ030068"
"0000030261","全域・集中の別030002"
"0000030261","１人当畳数Ａ030068"
"0000030262","全域・集中の別030002"
"0000030262","１人当畳数Ａ030068"
"0000030263","全域・集中の別030002"
"0000030263","男女Ａ030001"
"0000030263","職業大分類Ｃ030074"
"0000030263","従業地位Ｂ030022"
"0000030264","全域・集中の別030002"
"0000030264","従業地位Ｆ030023"
"0000030264","男女Ａ030001"
"0000030264","15歳以上年齢030020"
"0000030264","職業大分類Ｃ030074"
"0000030265","全域・集中の別030002"
"0000030265","男女Ａ030001"
"0000030265","15歳以上年齢030020"
"0000030265","産業大分類Ａ030021"
"0000030265","職業大分類Ｃ030074"
"0000030266","全域・集中の別030002"
"0000030266","男女Ａ030001"
"0000030266","世帯経済構成Ｂ030038"
"0000030266","普通世帯員030075"
"0000030267","全域・集中の別030002"
"0000030267","男女Ａ030001"
"0000030267","世帯経済構成Ｂ030038"
"0000030267","労働状態・産業030076"
"0000030268","全域・集中の別030002"
"0000030268","男女Ａ030001"
"0000030268","世帯経済構成Ｂ030038"
"0000030268","普通１５未人口030077"
"0000030269","全域・集中の別030002"
"0000030269","配偶関係Ｄ030078"
"0000030269","子供の数030079"
"0000030269","子供の年齢６歳030080"
"0000030269","母年齢１０歳030081"
"0000030270","全域・集中の別030002"
"0000030270","配偶関係Ｄ030078"
"0000030270","子供の数030079"
"0000030270","子供の年齢６歳030080"
"0000030270","母年齢１０歳030081"
"0000030271","全域・集中の別030002"
"0000030271","母年齢１０歳030081"
"0000030271","収入Ｅ030082"
"0000030272","全域・集中の別030002"
"0000030272","母年齢１０歳030081"
"0000030272","収入Ｅ030082"
"0000030273","全域・集中の別030002"
"0000030273","母年齢１０歳030081"
"0000030273","労働力状態・従業上地位030083"
"0000030274","全域・集中の別030002"
"0000030274","母年齢１０歳030081"
"0000030274","労働力状態・従業上地位030083"
"0000030275","全域・集中の別030002"
"0000030275","母年齢１０歳030081"
"0000030275","職業大分類Ｃ030074"
"0000030276","全域・集中の別030002"
"0000030276","母年齢１０歳030081"
"0000030276","職業大分類Ｃ030074"
"0000030277","全域・集中の別030002"
